run_id,target_id,detection_id,class_name,class_id,confidence,weed_bbox_area_px2,weed_mask_area_px2,x_target_mm,y_target_mm,z_target_mm,cell_id,cell_row,cell_col,cell_center_x_mm,cell_center_y_mm,distance_from_cell_center_mm,radius_from_survey_mm,angle_from_survey_deg,ring_index,axis_label,quadrant_label,was_selected_by_trial_filter,selection_reason,x_commanded_mm,y_commanded_mm,x_final_mm,y_final_mm,position_error_mm,travel_distance_mm,travel_time_s,reid_time_s,fine_align_time_s,pd_time_s,fire_time_s,per_target_total_time_s,per_target_treatment_time_s,pd_iterations,pd_converged,fired,fine_align_reid_yolo_time_s,fine_align_reid_total_time_s,fine_align_pd_lk_time_s,final_snap_time_s,fine_align_snap_used,fine_align_snap_move_px,reid_ok,reid_error,reid_filter_mode,reid_left_count,reid_right_count,reid_match_count,reid_expected_cls,reid_point_mode,reid_burst_count,reid_chosen,reid_chosen_pd_err_px,reid_chosen_tri_dist_mm,reid_chosen_geo_score,reid_reject_crop,reid_reject_duplicate,reid_reject_pd,reid_reject_epipolar,reid_reject_max_tri_dist,reid_timing_total_s,reid_timing_yolo_s,reid_timing_match_s,hit_success,false_positive,missed,status,notes
20260506_110724,1,1,,1,0.9430419921875,1937.878,,18.297377871831824,117.0828044905742,,r1_c0,1,0,30.0,126.0,14.713,184.66,-169.732,3,horizontal,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,2,2,,1,0.954541015625,2273.748,,27.72963928347304,205.98800861664438,,r2_c0,2,0,30.0,210.0,4.61,181.14,161.996,3,off_axis,upper_left,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,3,3,,1,0.8803955078125,2393.387,,92.70819261447092,278.278695720263,,r3_c1,3,1,90.0,294.0,15.953,167.233,129.909,2,diagonal,upper_left,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,4,4,,1,0.9490234375,1922.752,,89.70145394434803,46.86046346719513,,r0_c1,0,1,90.0,42.0,4.87,151.008,-136.921,2,off_axis,lower_left,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,5,5,,1,0.926611328125,2196.514,,141.7072538919399,134.92619174345288,,r1_c2,1,2,150.0,126.0,12.184,60.21,-165.502,1,horizontal,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,6,6,,1,0.9127685546875,1496.688,,145.08819614131045,210.73181607743967,,r2_c2,2,2,150.0,210.0,4.966,81.876,132.119,1,diagonal,upper_left,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,7,7,,1,0.906884765625,2450.717,,200.48475306699203,292.64534104238584,,r3_c3,3,3,210.0,294.0,9.611,142.646,89.805,2,vertical,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,8,8,,1,0.81494140625,2153.924,,199.0405752635996,32.60368464037669,,r0_c3,0,3,210.0,42.0,14.436,117.4,-90.468,1,vertical,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,9,9,,1,0.942578125,2722.645,,252.10757443656507,136.70245492096666,,r1_c4,1,4,270.0,126.0,20.849,53.778,-14.316,1,horizontal,center_axis,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
20260506_110724,10,10,,1,0.9158203125,2456.302,,263.9899936403125,222.36094390021555,,r2_c4,2,4,270.0,210.0,13.745,96.596,48.513,1,diagonal,upper_right,False,outside_selected_cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rejected_by_trial_filter,
