collected_at,combo_index,corner_targets,match_wall_s,matched_targets,params,reid_estimated_time_s,reid_failures,repaired_targets,score_primary,score_time_s,score_tuple,stable_left,stable_right,stage,survey_detect_wall_s,survey_grouping_time_s,survey_yolo_time_s,target_classes,targets_hit_like,targets_usable,trial,truth_correct,winner_agree_count,winner_agree_rate,chosen_id_correct_nearest,chosen_id_correct_nearest_rate,chosen_id_correct_constellation,chosen_id_correct_constellation_rate,avg_pred_target_error_mm,avg_truth_target_error_mm
2026-04-26T13:13:01,36,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 400.0, "max_pd_err": 180.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.603765,0,None,10,8.603765,[-2, -10, -1.0, -0.9166666666666666, 8.603765],None,None,reid,None,None
2026-04-26T13:13:12,37,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 120.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},9.235012,0,None,10,9.235012,[-2, -10, -1.0, -0.9166666666666666, 9.235012],None,None,reid,None,None
2026-04-26T13:13:23,38,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 120.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.494807,0,None,10,8.494807,[-2, -10, -1.0, -0.9166666666666666, 8.494807],None,None,reid,None,None
2026-04-26T13:13:33,39,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 120.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.505802,0,None,10,8.505802,[-2, -10, -1.0, -0.9166666666666666, 8.505802],None,None,reid,None,None
2026-04-26T13:13:43,40,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 150.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.501887,0,None,10,8.501887,[-2, -10, -1.0, -0.9166666666666666, 8.501887],None,None,reid,None,None
2026-04-26T13:13:54,41,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 150.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.516022,0,None,10,8.516022,[-2, -10, -1.0, -0.9166666666666666, 8.516022],None,None,reid,None,None
2026-04-26T13:14:04,42,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 150.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.424821,0,None,10,8.424821,[-2, -10, -1.0, -0.9166666666666666, 8.424821],None,None,reid,None,None
2026-04-26T13:14:14,43,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 180.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.454086,0,None,10,8.454086,[-2, -10, -1.0, -0.9166666666666666, 8.454086],None,None,reid,None,None
2026-04-26T13:14:24,44,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 180.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.501972,0,None,10,8.501972,[-2, -10, -1.0, -0.9166666666666666, 8.501972],None,None,reid,None,None
2026-04-26T13:14:35,45,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 500.0, "max_pd_err": 180.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.417185,0,None,10,8.417185,[-2, -10, -1.0, -0.9166666666666666, 8.417185],None,None,reid,None,None
2026-04-26T13:14:45,46,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 120.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.409166,0,None,10,8.409166,[-2, -10, -1.0, -0.9166666666666666, 8.409166],None,None,reid,None,None
2026-04-26T13:14:55,47,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 120.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.364706,0,None,10,8.364706,[-2, -10, -1.0, -0.9166666666666666, 8.364706],None,None,reid,None,None
2026-04-26T13:15:05,48,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 120.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.35177,0,None,10,8.35177,[-2, -10, -1.0, -0.9166666666666666, 8.35177],None,None,reid,None,None
2026-04-26T13:15:15,49,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 150.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.39552,0,None,10,8.39552,[-2, -10, -1.0, -0.9166666666666666, 8.39552],None,None,reid,None,None
2026-04-26T13:15:25,50,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 15.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 150.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.400583,0,None,10,8.400583,[-2, -10, -1.0, -0.9166666666666666, 8.400583],None,None,reid,None,None
2026-04-26T13:15:36,51,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 20.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 150.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.396021,0,None,10,8.396021,[-2, -10, -1.0, -0.9166666666666666, 8.396021],None,None,reid,None,None
2026-04-26T13:15:46,52,None,None,None,{"burst_count": 14, "cluster_radius": 25.0, "crop_half": 60, "hit_tol_mm": 10.0, "imgsz": null, "max_disp": 550.0, "max_pd_err": 180.0, "max_y_diff": 80.0, "min_disp": 10.0, "min_hits": 1, "point_mode": "box_center"},8.411602,0,None,10,8.411602,[-2, -10, -1.0, -0.9166666666666666, 8.411602],None,None,reid,None,None,None,None,10,12,trial_067_20260426_100659,,12,1.0,11,0.916667,11,0.916667,8.535365,8.535365
