run_id,trial_id,trial_type,layout_type,workspace_width_mm,workspace_height_mm,workspace_area_mm2,expected_weed_count,expected_kale_count,expected_total_plants,num_detections_left,num_detections_right,num_stereo_matches,num_targets_planned,num_targets_attempted,num_targets_fired,num_targets_hit,num_weeds_missed,num_false_positives,survey_time_s,detection_time_s,stereo_matching_time_s,triangulation_time_s,planning_time_s,total_travel_time_s,total_pd_time_s,total_fire_time_s,total_state_overhead_time_s,total_run_time_s,planned_path_length_mm,actual_path_length_mm,area_rate_mm2_per_s,area_rate_m2_per_min,weeds_per_min,run_status,notes
20260425_163804,,timing,grid,450.0,440.0,198000.0,0,0,0,10,10,10,10,10,10,,,,1.366,1.489,6.690868,0.068213,1.288239,0.001988,,0.009,0.002,0.001,7.993,38.241,12.235,12.59,24.917,0.0,20.056,20.389,1118,0,,68.99,515.52,,2869.981,0.1722,8.697,complete,,True,3.359708,3.33084,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_007_20260425_163758,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_007_20260425_163758/manifest.jsonl,1118,75.682,0.06865,0.0,1.297014,7e-06,box_center,1
20260425_164004,,timing,grid,450.0,440.0,198000.0,0,0,0,10,10,10,10,10,9,,,,1.259,1.446,5.098623,0.065693,1.186358,0.002385,,0.011,0.002,0.0,8.043,32.813,11.669,12.043,20.148,0.0,18.052,18.83,993,0,,61.753,519.62,,3206.322,0.1924,8.745,complete,,True,2.302752,2.795507,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_008_20260425_163959,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_008_20260425_163959/manifest.jsonl,993,66.853,0.066056,0.0,1.191942,1.1e-05,box_center,1
20260425_165355,,timing,grid,450.0,440.0,198000.0,0,0,0,10,10,10,10,10,10,,,,1.435,1.481,6.871592,0.067201,1.359376,0.00222,,0.015,0.002,0.001,8.309,35.47,10.877,11.265,23.523,0.0,20.055,20.073,1093,0,,66.644,576.19,,2971.01,0.1783,9.003,complete,,True,3.528075,3.343188,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_009_20260425_165348,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_009_20260425_165348/manifest.jsonl,1093,73.517,0.067537,0.0,1.36717,8e-06,box_center,1
20260425_165653,,timing,grid,450.0,440.0,198000.0,0,0,0,10,10,10,10,1,0,,,,1.285,1.406,4.636005,0.055872,1.221479,0.002159,,0.018,0.003,0.001,0.715,1.733,1.109,1.134,0.528,0.0,0.0,2.915,164,0,,6.453,520.12,,30683.403,1.841,0.0,user_aborted,,True,2.559821,2.075782,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_010_20260425_165649,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_010_20260425_165649/manifest.jsonl,165,11.092,0.056238,0.0,1.228723,8e-06,box_center,1
20260425_165840,,timing,grid,450.0,440.0,198000.0,0,0,0,9,10,9,9,9,9,,,,1.438,1.436,5.422296,0.070105,1.358579,0.003295,,0.013,0.002,0.001,7.585,29.342,9.481,9.813,18.88,0.0,18.054,16.957,934,0,,57.685,554.93,,3432.435,0.2059,9.361,complete,,True,2.933868,2.487925,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_011_20260425_165834,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_011_20260425_165834/manifest.jsonl,934,63.11,0.070822,0.0,1.366576,1.2e-05,box_center,1
20260425_170024,,timing,grid,450.0,440.0,198000.0,0,0,0,10,10,10,10,10,9,,,,1.235,1.448,4.53423,0.061113,1.168292,0.002586,,0.011,0.002,0.001,8.799,28.719,9.479,9.849,18.261,0.0,18.046,18.225,960,0,,58.567,673.45,,3380.743,0.2028,9.22,complete,,True,2.396952,2.136843,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_012_20260425_170019,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_012_20260425_170019/manifest.jsonl,960,63.103,0.061487,0.0,1.173176,7e-06,box_center,1
20260425_170335,,timing,grid,450.0,440.0,198000.0,0,0,0,10,10,10,10,10,10,,,,1.205,1.427,4.216905,0.065678,1.132812,0.004126,,0.009,0.002,0.001,8.799,30.081,9.181,9.608,19.766,0.0,20.076,18.122,1003,0,,61.574,670.45,,3215.643,0.1929,9.744,complete,,True,2.095635,2.12042,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_013_20260425_170331,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_013_20260425_170331/manifest.jsonl,1003,65.794,0.06599,0.0,1.138095,1.2e-05,box_center,1
20260425_171659,,timing,grid,450.0,440.0,198000.0,0,0,0,4,2,1,1,1,0,,,,1.339,1.456,6.561279,0.067857,1.265687,0.000877,,0.002,0.001,0.0,0.901,0.0,0.0,0.0,0.0,0.0,0.0,3.015,183,0,,6.134,70.17,,32279.1,1.9367,0.0,failed,,True,3.399443,3.161521,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_014_20260425_171652,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_014_20260425_171652/manifest.jsonl,184,12.697,0.068264,0.0,1.270577,5e-06,box_center,1
20260425_171825,,timing,grid,450.0,440.0,198000.0,0,0,0,3,1,1,1,1,0,,,,1.194,1.443,4.084291,0.068578,1.12017,0.001228,,0.001,0.0,0.0,1.285,1.882,1.858,0.0,0.0,0.0,0.0,2.438,144,0,,5.834,144.18,,33938.978,2.0363,0.0,complete,,True,2.067923,2.015762,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_015_20260425_171821,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_015_20260425_171821/manifest.jsonl,144,9.921,0.068722,0.0,1.124398,1.3e-05,box_center,1
20260425_171927,,timing,grid,450.0,440.0,198000.0,0,0,0,7,5,5,5,5,2,,,,9.155,1.296,6.784023,0.665389,8.47739,0.00418,,0.003,0.001,0.0,3.404,16.807,11.521,11.629,5.028,0.0,4.011,10.405,611,0,,35.734,375.55,,5540.941,0.3325,3.358,user_aborted,,True,3.631129,3.15255,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_016_20260425_171920,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_016_20260425_171920/manifest.jsonl,611,42.52,0.669392,0.0,8.485303,5e-06,box_center,10
20260425_172040,,timing,grid,450.0,440.0,198000.0,0,0,0,4,3,3,3,3,2,,,,1.197,1.455,4.234928,0.069843,1.120228,0.00147,,0.002,0.001,0.0,2.758,5.945,2.585,2.71,3.102,0.0,4.011,5.166,289,0,,15.28,249.52,,12958.115,0.7775,7.853,complete,,True,2.264908,1.969659,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_017_20260425_172036,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_017_20260425_172036/manifest.jsonl,289,19.516,0.070235,0.0,1.126193,9e-06,box_center,1
20260425_172255,,timing,grid,450.0,440.0,198000.0,0,0,0,6,6,6,6,6,5,,,,1.299,1.421,4.062783,0.067149,1.226621,0.001761,,0.005,0.002,0.001,5.803,14.517,4.659,4.881,9.286,0.0,10.032,10.446,567,0,,33.096,500.45,,5982.596,0.359,9.065,complete,,True,2.051429,2.01091,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_018_20260425_172251,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_018_20260425_172251/manifest.jsonl,567,37.162,0.067481,0.0,1.230779,1e-05,box_center,1
20260425_172424,,timing,grid,450.0,440.0,198000.0,0,0,0,5,6,5,5,1,0,,,,1.442,1.401,6.51633,0.069686,1.36493,0.001474,,0.003,0.001,0.0,0.65,4.807,2.152,2.175,2.574,0.0,0.0,3.741,228,0,,8.931,379.88,,22169.97,1.3302,0.0,user_aborted,,True,3.353,3.163072,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_019_20260425_172418,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_019_20260425_172418/manifest.jsonl,228,15.449,0.07002,0.0,1.371868,7e-06,box_center,1
20260425_172502,,timing,grid,450.0,440.0,198000.0,0,0,0,10,10,10,10,10,10,,,,1.518,1.441,7.138269,0.069213,1.440323,0.002176,,0.008,0.001,0.0,8.192,49.669,29.553,29.89,19.123,0.0,20.081,24.474,1321,0,,80.736,563.07,,2452.438,0.1471,7.432,complete,,True,3.397056,3.740865,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_020_20260425_172454,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_020_20260425_172454/manifest.jsonl,1321,87.877,0.069525,0.0,1.447784,5e-06,box_center,1
20260425_172704,,timing,grid,450.0,440.0,198000.0,0,0,0,7,4,4,4,1,0,,,,1.434,1.414,6.722402,0.068345,1.358484,0.002135,,0.003,0.003,0.0,0.65,4.678,2.335,2.367,2.254,0.0,0.0,3.689,222,0,,8.453,358.81,,23423.637,1.4054,0.0,user_aborted,,True,3.545214,3.176866,640,3,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_021_20260425_172657,/home/laser/Documents/LaserWeeder_GrandMaster/trial_recordings/trial_021_20260425_172657/manifest.jsonl,222,15.177,0.068776,0.0,1.364998,5e-06,box_center,1
