t,x,y,theta,v,w
0.850,0.0000,0.0000,0.0000,0.000,0.000
0.904,0.0000,0.0000,0.0000,0.000,0.000
0.957,0.0000,0.0000,0.0000,0.000,0.000
1.010,0.0000,0.0000,0.0000,0.000,0.000
1.063,0.0000,0.0000,0.0000,0.000,0.000
1.116,0.0000,0.0000,0.0000,0.000,0.000
1.169,0.0000,0.0000,0.0000,0.000,0.000
1.222,0.0000,0.0000,0.0000,0.000,0.000
1.277,0.0000,0.0000,0.0000,0.000,0.000
1.330,0.0000,0.0000,0.0000,0.000,0.000
1.383,0.0000,0.0000,0.0000,0.000,0.000
1.436,0.0000,0.0000,0.0000,0.000,0.000
1.489,0.0000,0.0000,0.0000,0.000,0.000
1.541,0.0000,0.0000,0.0000,0.000,0.000
1.595,0.0000,0.0000,0.0000,0.000,0.000
1.649,0.0000,0.0000,0.0000,0.000,0.000
1.701,0.0000,0.0000,0.0000,0.000,0.000
1.754,0.0000,0.0000,0.0000,0.000,0.000
1.807,0.0000,0.0000,0.0000,0.000,0.000
1.860,0.0000,0.0000,0.0000,0.000,0.000
1.913,0.0000,0.0000,0.0000,0.000,0.000
1.966,0.0000,0.0000,0.0000,0.000,0.000
2.019,0.0000,0.0000,0.0000,0.000,0.000
2.072,0.0000,0.0000,0.0000,0.000,0.000
2.124,0.0000,0.0000,0.0000,0.000,0.000
2.178,0.0000,0.0000,0.0000,0.000,0.000
2.230,0.0000,0.0000,0.0000,0.000,0.000
2.283,0.0000,0.0000,0.0000,0.000,0.000
2.338,0.0000,0.0000,0.0000,0.000,0.000
2.391,0.0000,0.0000,0.0000,0.000,0.000
2.444,0.0000,0.0000,0.0000,0.000,0.000
2.497,0.0000,0.0000,0.0000,0.000,0.000
2.548,0.0000,0.0000,0.0000,0.000,0.000
2.601,0.0000,0.0000,0.0000,0.000,0.000
2.654,0.0000,0.0000,0.0000,0.000,0.000
2.707,0.0000,0.0000,0.0000,0.000,0.000
2.762,0.0000,0.0000,0.0000,0.000,0.000
2.817,0.0000,0.0000,0.0000,0.000,0.000
2.871,0.0000,0.0000,0.0000,0.000,0.000
3.010,0.0000,0.0000,0.0000,0.000,0.000
3.065,0.0000,0.0000,0.0000,0.000,0.000
3.118,0.0000,0.0000,0.0000,0.000,0.000
3.171,0.0000,0.0000,0.0000,0.000,0.000
3.225,0.0000,0.0000,0.0000,0.000,0.000
3.280,0.0000,0.0000,0.0000,0.000,0.000
3.333,0.0000,0.0000,0.0000,0.000,0.000
3.385,0.0000,0.0000,0.0000,0.000,0.000
3.438,0.0000,0.0000,0.0000,0.000,0.000
3.491,0.0000,0.0000,0.0000,0.000,0.000
3.543,0.0000,0.0000,0.0000,0.000,0.000
3.597,0.0000,0.0000,0.0000,0.000,0.000
3.650,0.0000,0.0000,0.0000,0.000,0.000
3.703,0.0000,0.0000,0.0000,0.000,0.000
3.756,0.0000,0.0000,0.0000,0.000,0.000
3.808,0.0000,0.0000,0.0000,0.000,0.000
3.861,0.0000,0.0000,0.0000,0.000,0.000
3.913,0.0000,0.0000,0.0000,0.000,0.000
3.967,0.0000,0.0000,0.0000,0.000,0.000
4.021,0.0000,0.0000,0.0000,0.000,0.000
4.075,0.0000,0.0000,0.0000,0.000,0.000
4.129,0.0000,0.0000,0.0000,0.000,0.000
4.184,0.0000,0.0000,0.0000,0.000,0.000
4.238,0.0000,0.0000,0.0000,0.000,0.000
4.291,0.0000,0.0000,0.0000,0.000,0.000
4.345,0.0000,0.0000,0.0000,0.000,0.000
4.389,0.0000,0.0000,0.0000,0.000,0.000
4.392,-0.0000,-0.0000,0.0002,-0.001,0.059
4.496,-0.0004,-0.0000,0.0096,-0.004,0.090
4.550,-0.0005,-0.0000,0.0148,-0.001,0.097
4.604,-0.0003,0.0000,0.0195,0.004,0.088
4.658,0.0000,0.0000,0.0242,0.005,0.086
4.711,-0.0000,0.0000,0.0289,-0.001,0.088
4.765,-0.0004,-0.0000,0.0259,-0.006,-0.056
4.818,-0.0006,-0.0000,0.0230,-0.005,-0.054
4.873,-0.0013,-0.0000,0.0205,-0.012,-0.045
4.876,-0.0013,-0.0000,0.0204,-0.012,-0.045
4.879,-0.0013,-0.0000,0.0205,-0.001,0.045
4.981,-0.0013,-0.0000,0.0288,0.000,0.081
5.036,-0.0013,-0.0000,0.0334,0.000,0.084
5.089,-0.0013,-0.0000,0.0383,0.001,0.091
5.144,-0.0012,-0.0000,0.0436,0.001,0.098
5.198,-0.0012,-0.0000,0.0488,0.000,0.095
5.251,-0.0014,-0.0000,0.0498,-0.004,0.018
5.303,-0.0013,-0.0000,0.0465,0.003,-0.062
5.357,-0.0015,-0.0000,0.0440,-0.005,-0.047
5.410,-0.0015,-0.0000,0.0438,0.000,-0.004
5.463,-0.0015,-0.0000,0.0438,0.000,0.000
5.517,-0.0015,-0.0000,0.0438,0.000,0.000
5.573,-0.0015,-0.0000,0.0438,0.000,0.000
5.593,-0.0015,-0.0000,0.0438,0.000,0.000
5.596,-0.0015,-0.0000,0.0439,0.000,0.045
5.700,-0.0015,-0.0000,0.0520,0.000,0.077
5.753,-0.0015,-0.0000,0.0567,0.000,0.088
5.807,-0.0014,-0.0000,0.0616,0.002,0.091
5.861,-0.0014,-0.0000,0.0666,0.001,0.094
5.914,-0.0013,-0.0000,0.0717,0.001,0.097
5.967,-0.0009,0.0000,0.0674,0.008,-0.080
6.021,-0.0004,0.0000,0.0636,0.009,-0.070
6.075,-0.0007,0.0000,0.0615,-0.005,-0.040
6.078,-0.0007,0.0000,0.0614,-0.005,-0.040
6.081,-0.0007,0.0000,0.0613,-0.008,-0.041
6.107,-0.0008,0.0000,0.0610,-0.001,-0.008
6.143,-0.0008,0.0000,0.0614,0.000,0.011
6.174,-0.0003,0.0000,0.0627,0.015,0.040
6.207,0.0015,0.0002,0.0631,0.055,0.012
6.239,0.0043,0.0003,0.0629,0.087,-0.006
6.279,0.0081,0.0006,0.0627,0.094,-0.004
6.309,0.0111,0.0008,0.0628,0.104,0.004
6.342,0.0147,0.0010,0.0631,0.107,0.007
6.375,0.0182,0.0012,0.0633,0.107,0.006
6.406,0.0213,0.0014,0.0633,0.098,0.000
6.512,0.0312,0.0020,0.0631,0.094,-0.001
6.568,0.0365,0.0024,0.0630,0.096,-0.002
6.622,0.0419,0.0027,0.0631,0.100,0.001
6.676,0.0475,0.0031,0.0632,0.102,0.002
6.730,0.0529,0.0034,0.0632,0.102,0.000
6.784,0.0556,0.0036,0.0635,0.050,0.005
6.839,0.0563,0.0036,0.0636,0.012,0.002
6.892,0.0573,0.0037,0.0617,0.019,-0.036
6.944,0.0573,0.0037,0.0617,0.000,0.000
6.998,0.0573,0.0037,0.0616,0.000,-0.001
7.052,0.0573,0.0037,0.0616,0.000,0.000
7.106,0.0573,0.0037,0.0616,0.000,0.000
7.161,0.0573,0.0037,0.0616,0.000,0.000
7.216,0.0573,0.0037,0.0616,0.000,0.000
