t,x,y,theta,v,w
0.836,0.0000,0.0000,0.0000,0.000,0.000
0.889,0.0000,0.0000,0.0000,0.000,0.000
0.942,0.0000,0.0000,0.0000,0.000,0.000
0.995,0.0000,0.0000,0.0000,0.000,0.000
1.049,0.0000,0.0000,0.0000,0.000,0.000
1.103,0.0000,0.0000,0.0000,0.000,0.000
1.158,0.0000,0.0000,0.0000,0.000,0.000
1.211,0.0000,0.0000,0.0000,0.000,0.000
1.264,0.0000,0.0000,0.0000,0.000,0.000
1.317,0.0000,0.0000,0.0000,0.000,0.000
1.370,0.0000,0.0000,0.0000,0.000,0.000
1.423,0.0000,0.0000,0.0000,0.000,0.000
1.476,0.0000,0.0000,0.0000,0.000,0.000
1.528,0.0000,0.0000,0.0000,0.000,0.000
1.581,0.0000,0.0000,0.0000,0.000,0.000
1.635,0.0000,0.0000,0.0000,0.000,0.000
1.688,0.0000,0.0000,0.0000,0.000,0.000
1.742,0.0000,0.0000,0.0000,0.000,0.000
1.795,0.0000,0.0000,0.0000,0.000,0.000
1.849,0.0000,0.0000,0.0000,0.000,0.000
1.903,0.0000,0.0000,0.0000,0.000,0.000
1.956,0.0000,0.0000,0.0000,0.000,0.000
2.009,0.0000,0.0000,0.0000,0.000,0.000
2.063,0.0000,0.0000,0.0000,0.000,0.000
2.115,0.0000,0.0000,0.0000,0.000,0.000
2.168,0.0000,0.0000,0.0000,0.000,0.000
2.221,0.0000,0.0000,0.0000,0.000,0.000
2.275,0.0000,0.0000,0.0000,0.000,0.000
2.330,0.0000,0.0000,0.0000,0.000,0.000
2.384,0.0000,0.0000,0.0000,0.000,0.000
2.438,0.0000,0.0000,0.0000,0.000,0.000
2.491,0.0000,0.0000,0.0000,0.000,0.000
2.548,0.0000,0.0000,0.0000,0.000,0.000
2.601,0.0000,0.0000,0.0000,0.000,0.000
2.654,0.0000,0.0000,0.0000,0.000,0.000
2.707,0.0000,0.0000,0.0000,0.000,0.000
2.761,0.0000,0.0000,0.0000,0.000,0.000
2.815,0.0000,0.0000,0.0000,0.000,0.000
2.869,0.0000,0.0000,0.0000,0.000,0.000
2.922,0.0000,0.0000,0.0000,0.000,0.000
2.931,0.0000,0.0000,0.0000,0.000,0.000
2.986,0.0000,0.0000,0.0000,0.000,0.000
3.040,0.0000,0.0000,0.0000,0.000,0.000
3.093,0.0000,0.0000,0.0000,0.000,0.000
3.148,0.0000,0.0000,0.0000,0.000,0.000
3.200,0.0000,0.0000,0.0000,0.000,0.000
3.253,0.0000,0.0000,0.0000,0.000,0.000
3.306,0.0000,0.0000,0.0000,0.000,0.000
3.360,0.0000,0.0000,0.0000,0.000,0.000
3.415,0.0000,0.0000,0.0000,0.000,0.000
3.470,0.0000,0.0000,0.0000,0.000,0.000
3.525,0.0000,0.0000,0.0000,0.000,0.000
3.577,0.0000,0.0000,0.0000,0.000,0.000
3.631,0.0000,0.0000,0.0000,0.000,0.000
3.684,0.0000,0.0000,0.0000,0.000,0.000
3.737,0.0000,0.0000,0.0000,0.000,0.000
3.789,0.0000,0.0000,0.0000,0.000,0.000
3.843,0.0000,0.0000,0.0000,0.000,0.000
3.896,0.0000,0.0000,0.0000,0.000,0.000
3.949,0.0000,0.0000,0.0000,0.000,0.000
4.001,0.0000,0.0000,0.0000,0.000,0.000
4.056,0.0000,0.0000,0.0000,0.000,0.000
4.112,0.0000,0.0000,0.0000,0.000,0.000
4.168,0.0000,0.0000,0.0000,0.000,0.000
4.222,0.0000,0.0000,0.0000,0.000,0.000
4.276,0.0000,0.0000,0.0000,0.000,0.000
4.331,0.0000,0.0000,0.0000,0.000,0.000
4.384,0.0000,0.0000,0.0000,0.000,0.000
4.437,0.0000,0.0000,0.0000,0.000,0.000
4.491,0.0000,0.0000,0.0000,0.000,0.000
4.544,0.0000,0.0000,0.0000,0.000,0.000
4.598,0.0000,0.0000,0.0000,0.000,0.000
4.651,0.0000,0.0000,0.0000,0.000,0.000
4.660,0.0000,0.0000,0.0000,0.000,0.000
4.662,0.0000,0.0000,0.0000,0.000,0.000
4.667,0.0000,0.0000,0.0000,0.000,0.000
4.720,0.0000,0.0000,0.0000,0.000,0.000
4.777,0.0000,0.0000,0.0000,0.000,0.000
4.832,0.0000,0.0000,0.0000,0.000,0.000
4.885,0.0000,0.0000,0.0000,0.000,0.000
4.939,0.0000,0.0000,0.0000,0.000,0.000
4.994,0.0000,0.0000,0.0000,0.000,0.000
5.047,0.0000,0.0000,0.0000,0.000,0.000
5.101,0.0000,0.0000,0.0000,0.000,0.000
5.155,0.0000,0.0000,0.0000,0.000,0.000
5.210,0.0000,0.0000,0.0000,0.000,0.000
5.265,0.0000,0.0000,0.0000,0.000,0.000
5.318,0.0000,0.0000,0.0000,0.000,0.000
5.371,0.0000,0.0000,0.0000,0.000,0.000
5.428,0.0000,0.0000,0.0000,0.000,0.000
5.483,0.0000,0.0000,0.0000,0.000,0.000
5.538,0.0000,0.0000,0.0000,0.000,0.000
5.594,0.0000,0.0000,0.0000,0.000,0.000
5.650,0.0000,0.0000,0.0000,0.000,0.000
5.704,0.0000,0.0000,0.0000,0.000,0.000
5.759,0.0000,0.0000,0.0000,0.000,0.000
5.814,0.0000,0.0000,0.0000,0.000,0.000
5.867,0.0000,0.0000,0.0000,0.000,0.000
5.921,0.0000,0.0000,0.0000,0.000,0.000
5.978,0.0000,0.0000,0.0000,0.000,0.000
6.032,0.0000,0.0000,0.0000,0.000,0.000
6.088,0.0000,0.0000,0.0000,0.000,0.000
