t,x,y,theta,v,w
0.836,0.0000,0.0000,0.0000,0.000,0.000
0.890,0.0000,0.0000,0.0000,0.000,0.000
0.943,0.0000,0.0000,0.0000,0.000,0.000
0.996,0.0000,0.0000,0.0000,0.000,0.000
1.049,0.0000,0.0000,0.0000,0.000,0.000
1.103,0.0000,0.0000,0.0000,0.000,0.000
1.157,0.0000,0.0000,0.0000,0.000,0.000
1.210,0.0000,0.0000,0.0000,0.000,0.000
1.264,0.0000,0.0000,0.0000,0.000,0.000
1.317,0.0000,0.0000,0.0000,0.000,0.000
1.372,0.0000,0.0000,0.0000,0.000,0.000
1.427,0.0000,0.0000,0.0000,0.000,0.000
1.481,0.0000,0.0000,0.0000,0.000,0.000
1.534,0.0000,0.0000,0.0000,0.000,0.000
1.587,0.0000,0.0000,0.0000,0.000,0.000
1.642,0.0000,0.0000,0.0000,0.000,0.000
1.696,0.0000,0.0000,0.0000,0.000,0.000
1.750,0.0000,0.0000,0.0000,0.000,0.000
1.803,0.0000,0.0000,0.0000,0.000,0.000
1.857,0.0000,0.0000,0.0000,0.000,0.000
1.911,0.0000,0.0000,0.0000,0.000,0.000
1.966,0.0000,0.0000,0.0000,0.000,0.000
2.020,0.0000,0.0000,0.0000,0.000,0.000
2.073,0.0000,0.0000,0.0000,0.000,0.000
2.128,0.0000,0.0000,0.0000,0.000,0.000
2.182,0.0000,0.0000,0.0000,0.000,0.000
2.235,0.0000,0.0000,0.0000,0.000,0.000
2.288,0.0000,0.0000,0.0000,0.000,0.000
2.342,0.0000,0.0000,0.0000,0.000,0.000
2.397,0.0000,0.0000,0.0000,0.000,0.000
2.451,0.0000,0.0000,0.0000,0.000,0.000
2.506,0.0000,0.0000,0.0000,0.000,0.000
2.560,0.0000,0.0000,0.0000,0.000,0.000
2.614,0.0000,0.0000,0.0000,0.000,0.000
2.667,0.0000,0.0000,0.0000,0.000,0.000
2.720,0.0000,0.0000,0.0000,0.000,0.000
2.775,0.0000,0.0000,0.0000,0.000,0.000
2.829,0.0000,0.0000,0.0000,0.000,0.000
2.885,0.0000,0.0000,0.0000,0.000,0.000
2.937,0.0000,0.0000,0.0000,0.000,0.000
2.992,0.0000,0.0000,0.0000,0.000,0.000
3.046,0.0000,0.0000,0.0000,0.000,0.000
3.100,0.0000,0.0000,0.0000,0.000,0.000
3.154,0.0000,0.0000,0.0000,0.000,0.000
3.209,0.0000,0.0000,0.0000,0.000,0.000
3.264,0.0000,0.0000,0.0000,0.000,0.000
3.317,0.0000,0.0000,0.0000,0.000,0.000
3.371,0.0000,0.0000,0.0000,0.000,0.000
3.425,0.0000,0.0000,0.0000,0.000,0.000
3.478,0.0000,0.0000,0.0000,0.000,0.000
3.532,0.0000,0.0000,0.0000,0.000,0.000
3.586,0.0000,0.0000,0.0000,0.000,0.000
3.639,0.0000,0.0000,0.0000,0.000,0.000
3.693,0.0000,0.0000,0.0000,0.000,0.000
3.746,0.0000,0.0000,0.0000,0.000,0.000
3.799,0.0000,0.0000,0.0000,0.000,0.000
