t,x,y,theta,v,w
0.854,0.0000,0.0000,0.0000,0.000,0.000
0.910,0.0000,0.0000,0.0000,0.000,0.000
0.965,0.0000,0.0000,0.0000,0.000,0.000
1.018,0.0000,0.0000,0.0000,0.000,0.000
1.071,0.0000,0.0000,0.0000,0.000,0.000
1.124,0.0000,0.0000,0.0000,0.000,0.000
1.177,0.0000,0.0000,0.0000,0.000,0.000
1.232,0.0000,0.0000,0.0000,0.000,0.000
1.285,0.0000,0.0000,0.0000,0.000,0.000
1.339,0.0000,0.0000,0.0000,0.000,0.000
1.393,0.0000,0.0000,0.0000,0.000,0.000
1.447,0.0000,0.0000,0.0000,0.000,0.000
1.501,0.0000,0.0000,0.0000,0.000,0.000
1.555,0.0000,0.0000,0.0000,0.000,0.000
1.609,0.0000,0.0000,0.0000,0.000,0.000
1.662,0.0000,0.0000,0.0000,0.000,0.000
1.717,0.0000,0.0000,0.0000,0.000,0.000
1.770,0.0000,0.0000,0.0000,0.000,0.000
1.823,0.0000,0.0000,0.0000,0.000,0.000
1.878,0.0000,0.0000,0.0000,0.000,0.000
1.933,0.0000,0.0000,0.0000,0.000,0.000
1.986,0.0000,0.0000,0.0000,0.000,0.000
2.040,0.0000,0.0000,0.0000,0.000,0.000
2.094,0.0000,0.0000,0.0000,0.000,0.000
2.147,0.0000,0.0000,0.0000,0.000,0.000
2.201,0.0000,0.0000,0.0000,0.000,0.000
2.254,0.0000,0.0000,0.0000,0.000,0.000
2.307,0.0000,0.0000,0.0000,0.000,0.000
2.361,0.0000,0.0000,0.0000,0.000,0.000
2.417,0.0000,0.0000,0.0000,0.000,0.000
2.474,0.0000,0.0000,0.0000,0.000,0.000
2.528,0.0000,0.0000,0.0000,0.000,0.000
2.582,0.0000,0.0000,0.0000,0.000,0.000
2.635,0.0000,0.0000,0.0000,0.000,0.000
2.688,0.0000,0.0000,0.0000,0.000,0.000
2.741,0.0000,0.0000,0.0000,0.000,0.000
2.794,0.0000,0.0000,0.0000,0.000,0.000
2.847,0.0000,0.0000,0.0000,0.000,0.000
2.900,0.0000,0.0000,0.0000,0.000,0.000
2.953,0.0000,0.0000,0.0000,0.000,0.000
3.007,0.0000,0.0000,0.0000,0.000,0.000
3.060,0.0000,0.0000,0.0000,0.000,0.000
3.113,0.0000,0.0000,0.0000,0.000,0.000
3.166,0.0000,0.0000,0.0000,0.000,0.000
3.220,0.0000,0.0000,0.0000,0.000,0.000
3.274,0.0000,0.0000,0.0000,0.000,0.000
3.328,0.0000,0.0000,0.0000,0.000,0.000
3.382,0.0000,0.0000,0.0000,0.000,0.000
3.434,0.0000,0.0000,0.0000,0.000,0.000
3.488,0.0000,0.0000,0.0000,0.000,0.000
3.540,0.0000,0.0000,0.0000,0.000,0.000
3.594,0.0000,0.0000,0.0000,0.000,0.000
3.647,0.0000,0.0000,0.0000,0.000,0.000
3.699,0.0000,0.0000,0.0000,0.000,0.000
3.753,0.0000,0.0000,0.0000,0.000,0.000
3.807,0.0000,0.0000,0.0000,0.000,0.000
3.860,0.0000,0.0000,0.0000,0.000,0.000
4.000,0.0000,0.0000,0.0000,0.000,0.000
4.053,0.0000,0.0000,0.0000,0.000,0.000
4.106,0.0000,0.0000,0.0000,0.000,0.000
4.158,0.0000,0.0000,0.0000,0.000,0.000
4.211,0.0000,0.0000,0.0000,0.000,0.000
4.264,0.0000,0.0000,0.0000,0.000,0.000
4.317,0.0000,0.0000,0.0000,0.000,0.000
4.369,0.0000,0.0000,0.0000,0.000,0.000
4.422,0.0000,0.0000,0.0000,0.000,0.000
4.475,0.0000,0.0000,0.0000,0.000,0.000
4.528,0.0000,0.0000,0.0000,0.000,0.000
4.581,0.0000,0.0000,0.0000,0.000,0.000
4.634,0.0000,0.0000,0.0000,0.000,0.000
4.688,0.0000,0.0000,0.0000,0.000,0.000
4.743,0.0000,0.0000,0.0000,0.000,0.000
4.795,0.0000,0.0000,0.0000,0.000,0.000
4.848,0.0000,0.0000,0.0000,0.000,0.000
4.901,0.0000,0.0000,0.0000,0.000,0.000
4.954,0.0000,0.0000,0.0000,0.000,0.000
5.008,0.0000,0.0000,0.0000,0.000,0.000
5.052,0.0000,0.0000,0.0000,0.000,0.000
5.054,0.0000,0.0000,0.0000,0.000,0.000
5.158,0.0000,0.0000,0.0000,0.000,0.000
5.211,0.0000,0.0000,0.0000,0.000,0.000
5.264,0.0000,0.0000,0.0000,0.000,0.000
5.317,0.0000,0.0000,0.0000,0.000,0.000
5.372,0.0000,0.0000,0.0000,0.000,0.000
5.426,0.0000,0.0000,0.0000,0.000,0.000
5.480,0.0000,0.0000,0.0000,0.000,0.000
5.542,0.0000,0.0000,0.0000,0.000,0.000
5.553,0.0000,0.0000,0.0000,0.000,0.000
5.555,0.0000,0.0000,0.0000,0.000,0.000
5.580,0.0000,0.0000,0.0000,0.000,0.000
5.619,0.0004,0.0000,0.0007,0.010,0.017
5.654,0.0014,0.0000,0.0014,0.029,0.020
5.685,0.0038,0.0000,0.0015,0.076,0.003
5.713,0.0063,0.0000,0.0016,0.090,0.004
5.746,0.0095,0.0000,0.0016,0.099,0.000
5.791,0.0140,0.0000,0.0016,0.099,0.000
5.815,0.0164,0.0000,0.0016,0.099,0.000
5.845,0.0194,0.0000,0.0016,0.099,0.000
5.895,0.0243,0.0000,0.0016,0.099,0.000
5.912,0.0260,0.0000,0.0016,0.099,0.000
5.947,0.0294,0.0000,0.0016,0.098,0.000
5.986,0.0332,0.0001,0.0016,0.098,0.000
6.015,0.0360,0.0001,0.0016,0.098,0.000
6.046,0.0392,0.0001,0.0015,0.098,-0.001
6.083,0.0426,0.0001,0.0015,0.095,0.000
6.113,0.0454,0.0001,0.0016,0.094,0.001
6.147,0.0488,0.0001,0.0016,0.098,0.001
6.189,0.0530,0.0001,0.0016,0.101,0.000
6.216,0.0557,0.0001,0.0016,0.102,0.000
6.251,0.0594,0.0001,0.0016,0.103,0.000
6.284,0.0627,0.0001,0.0016,0.102,0.000
6.315,0.0659,0.0001,0.0016,0.101,0.000
6.352,0.0695,0.0001,0.0016,0.099,0.000
6.455,0.0797,0.0001,0.0015,0.099,-0.001
6.508,0.0848,0.0001,0.0015,0.096,0.001
6.561,0.0900,0.0001,0.0016,0.096,0.001
6.615,0.0952,0.0001,0.0016,0.098,0.000
6.669,0.1006,0.0002,0.0016,0.099,0.000
6.722,0.1034,0.0002,0.0013,0.053,-0.006
6.775,0.1042,0.0002,0.0013,0.015,0.000
6.828,0.1042,0.0002,0.0013,0.000,0.000
6.881,0.1042,0.0002,0.0013,0.000,0.000
6.934,0.1042,0.0002,0.0013,0.000,0.000
6.986,0.1042,0.0002,0.0013,0.000,0.000
7.039,0.1042,0.0002,0.0013,0.000,0.000
7.093,0.1041,0.0002,0.0012,-0.002,-0.001
7.147,0.1039,0.0002,0.0012,-0.003,0.000
7.183,0.1038,0.0002,0.0012,-0.003,0.000
7.186,0.1038,0.0002,0.0014,0.001,0.047
7.290,0.1037,0.0002,0.0110,-0.001,0.093
7.349,0.1036,0.0002,0.0167,-0.001,0.097
7.402,0.1036,0.0002,0.0218,0.000,0.096
7.455,0.1036,0.0002,0.0269,0.000,0.096
7.508,0.1036,0.0002,0.0312,0.000,0.081
7.561,0.1036,0.0002,0.0318,0.000,0.012
7.614,0.1031,0.0001,0.0306,-0.010,-0.023
7.668,0.1026,0.0001,0.0295,-0.009,-0.020
7.679,0.1025,0.0001,0.0293,-0.009,-0.020
7.681,0.1025,0.0001,0.0293,-0.007,-0.015
7.717,0.1023,0.0001,0.0288,-0.006,-0.013
7.745,0.1010,0.0001,0.0287,-0.046,-0.004
7.849,0.0918,-0.0002,0.0277,-0.089,-0.010
7.902,0.0866,-0.0003,0.0276,-0.098,-0.001
7.955,0.0812,-0.0005,0.0278,-0.101,0.004
8.008,0.0759,-0.0006,0.0280,-0.101,0.004
8.061,0.0706,-0.0008,0.0280,-0.099,0.000
8.114,0.0677,-0.0009,0.0283,-0.056,0.004
8.167,0.0674,-0.0009,0.0282,-0.006,-0.002
8.220,0.0670,-0.0009,0.0275,-0.006,-0.012
8.273,0.0670,-0.0009,0.0275,0.000,0.000
8.326,0.0671,-0.0009,0.0274,0.001,-0.002
8.379,0.0672,-0.0009,0.0273,0.001,-0.002
8.432,0.0672,-0.0009,0.0273,0.000,0.000
8.486,0.0672,-0.0009,0.0273,0.000,0.000
8.538,0.0672,-0.0009,0.0273,0.000,0.000
8.591,0.0672,-0.0009,0.0273,0.000,0.000
8.645,0.0672,-0.0009,0.0273,0.000,0.000
8.648,0.0672,-0.0009,0.0273,0.000,0.000
8.650,0.0672,-0.0009,0.0273,0.000,0.000
8.755,0.0672,-0.0009,0.0273,0.000,0.000
8.809,0.0672,-0.0009,0.0273,0.000,0.000
8.862,0.0672,-0.0009,0.0273,0.000,0.000
8.914,0.0672,-0.0009,0.0273,0.000,0.000
8.967,0.0672,-0.0009,0.0273,0.000,0.000
9.021,0.0672,-0.0009,0.0273,0.000,0.000
9.074,0.0672,-0.0009,0.0273,0.000,0.000
9.126,0.0672,-0.0009,0.0273,0.000,0.000
9.153,0.0672,-0.0009,0.0273,0.000,0.000
9.155,0.0672,-0.0009,0.0273,0.000,0.000
9.183,0.0672,-0.0009,0.0273,0.000,0.000
9.209,0.0672,-0.0009,0.0273,0.000,0.000
9.251,0.0669,-0.0009,0.0275,-0.007,0.005
9.262,0.0658,-0.0009,0.0274,-0.090,-0.013
9.367,0.0554,-0.0012,0.0275,-0.099,0.001
9.421,0.0500,-0.0013,0.0276,-0.101,0.003
9.474,0.0447,-0.0015,0.0278,-0.101,0.003
9.528,0.0392,-0.0016,0.0280,-0.101,0.004
9.580,0.0342,-0.0018,0.0283,-0.097,0.006
9.634,0.0311,-0.0019,0.0283,-0.057,0.000
9.687,0.0307,-0.0019,0.0281,-0.007,-0.004
9.740,0.0303,-0.0019,0.0273,-0.008,-0.016
9.794,0.0303,-0.0019,0.0273,0.000,0.000
9.847,0.0303,-0.0019,0.0273,0.000,0.000
9.900,0.0303,-0.0019,0.0271,0.001,-0.002
9.954,0.0305,-0.0019,0.0269,0.002,-0.005
10.007,0.0305,-0.0019,0.0269,0.000,0.000
10.060,0.0305,-0.0019,0.0269,0.000,0.000
10.115,0.0305,-0.0019,0.0269,0.000,0.000
10.168,0.0305,-0.0019,0.0269,0.000,0.000
10.221,0.0305,-0.0019,0.0269,0.000,0.000
10.275,0.0305,-0.0019,0.0269,0.000,0.000
10.328,0.0305,-0.0019,0.0269,0.000,0.000
10.381,0.0305,-0.0019,0.0269,0.000,0.000
10.435,0.0305,-0.0019,0.0269,0.000,0.000
10.464,0.0305,-0.0019,0.0269,0.000,0.000
10.467,0.0305,-0.0019,0.0269,0.000,0.000
10.570,0.0305,-0.0019,0.0269,0.000,0.000
10.623,0.0305,-0.0019,0.0269,0.000,0.000
10.676,0.0305,-0.0019,0.0269,0.000,0.000
10.730,0.0305,-0.0019,0.0269,0.000,0.000
10.782,0.0305,-0.0019,0.0269,0.000,0.000
10.836,0.0305,-0.0019,0.0269,0.000,0.000
10.889,0.0305,-0.0019,0.0269,0.000,0.000
10.942,0.0305,-0.0019,0.0269,0.000,0.000
10.995,0.0305,-0.0019,0.0269,0.000,0.000
11.048,0.0305,-0.0019,0.0269,0.000,0.000
11.100,0.0305,-0.0019,0.0269,0.000,0.000
11.154,0.0305,-0.0019,0.0269,0.000,0.000
11.207,0.0305,-0.0019,0.0269,0.000,0.000
11.260,0.0305,-0.0019,0.0269,0.000,0.000
11.316,0.0305,-0.0019,0.0269,0.000,0.000
11.371,0.0305,-0.0019,0.0269,0.000,0.000
11.425,0.0305,-0.0019,0.0269,0.000,0.000
11.478,0.0305,-0.0019,0.0269,0.000,0.000
11.502,0.0305,-0.0019,0.0269,0.000,0.000
11.503,0.0305,-0.0019,0.0269,-0.001,0.043
11.608,0.0307,-0.0019,0.0363,0.002,0.089
11.663,0.0305,-0.0019,0.0409,-0.003,0.084
11.717,0.0303,-0.0019,0.0454,-0.004,0.083
11.770,0.0303,-0.0019,0.0501,0.000,0.088
11.823,0.0303,-0.0019,0.0546,0.000,0.084
11.876,0.0304,-0.0019,0.0570,0.002,0.047
11.930,0.0322,-0.0018,0.0505,0.033,-0.121
11.983,0.0330,-0.0018,0.0476,0.015,-0.055
12.036,0.0331,-0.0017,0.0471,0.003,-0.010
12.090,0.0331,-0.0017,0.0471,0.000,0.000
12.143,0.0331,-0.0017,0.0471,0.000,0.000
12.196,0.0331,-0.0017,0.0471,0.000,0.000
12.249,0.0331,-0.0017,0.0471,0.000,0.000
12.303,0.0331,-0.0017,0.0471,0.000,0.000
12.357,0.0331,-0.0017,0.0471,0.000,0.000
12.410,0.0331,-0.0017,0.0471,0.000,0.000
12.463,0.0331,-0.0017,0.0471,0.000,0.000
