t,x,y,theta,v,w
0.839,0.0000,0.0000,0.0000,0.000,0.000
0.896,0.0000,0.0000,0.0000,0.000,0.000
0.951,0.0000,0.0000,0.0000,0.000,0.000
1.005,0.0000,0.0000,0.0000,0.000,0.000
1.058,0.0000,0.0000,0.0000,0.000,0.000
1.112,0.0000,0.0000,0.0000,0.000,0.000
1.166,0.0000,0.0000,0.0000,0.000,0.000
1.219,0.0000,0.0000,0.0000,0.000,0.000
1.275,0.0000,0.0000,0.0000,0.000,0.000
1.331,0.0000,0.0000,0.0000,0.000,0.000
1.385,0.0000,0.0000,0.0000,0.000,0.000
1.439,0.0000,0.0000,0.0000,0.000,0.000
1.494,0.0000,0.0000,0.0000,0.000,0.000
1.550,0.0000,0.0000,0.0000,0.000,0.000
1.605,0.0000,0.0000,0.0000,0.000,0.000
1.658,0.0000,0.0000,0.0000,0.000,0.000
1.713,0.0000,0.0000,0.0000,0.000,0.000
1.765,0.0000,0.0000,0.0000,0.000,0.000
1.819,0.0000,0.0000,0.0000,0.000,0.000
1.873,0.0000,0.0000,0.0000,0.000,0.000
1.928,0.0000,0.0000,0.0000,0.000,0.000
1.982,0.0000,0.0000,0.0000,0.000,0.000
2.036,0.0000,0.0000,0.0000,0.000,0.000
2.089,0.0000,0.0000,0.0000,0.000,0.000
2.143,0.0000,0.0000,0.0000,0.000,0.000
2.197,0.0000,0.0000,0.0000,0.000,0.000
2.252,0.0000,0.0000,0.0000,0.000,0.000
2.305,0.0000,0.0000,0.0000,0.000,0.000
2.358,0.0000,0.0000,0.0000,0.000,0.000
2.412,0.0000,0.0000,0.0000,0.000,0.000
2.464,0.0000,0.0000,0.0000,0.000,0.000
2.518,0.0000,0.0000,0.0000,0.000,0.000
2.573,0.0000,0.0000,0.0000,0.000,0.000
2.627,0.0000,0.0000,0.0000,0.000,0.000
2.680,0.0000,0.0000,0.0000,0.000,0.000
2.734,0.0000,0.0000,0.0000,0.000,0.000
2.788,0.0000,0.0000,0.0000,0.000,0.000
2.842,0.0000,0.0000,0.0000,0.000,0.000
2.896,0.0000,0.0000,0.0000,0.000,0.000
2.952,0.0000,0.0000,0.0000,0.000,0.000
3.005,0.0000,0.0000,0.0000,0.000,0.000
3.059,0.0000,0.0000,0.0000,0.000,0.000
3.115,0.0000,0.0000,0.0000,0.000,0.000
3.169,0.0000,0.0000,0.0000,0.000,0.000
3.222,0.0000,0.0000,0.0000,0.000,0.000
3.277,0.0000,0.0000,0.0000,0.000,0.000
3.332,0.0000,0.0000,0.0000,0.000,0.000
3.386,0.0000,0.0000,0.0000,0.000,0.000
3.439,0.0000,0.0000,0.0000,0.000,0.000
3.496,0.0000,0.0000,0.0000,0.000,0.000
3.551,0.0000,0.0000,0.0000,0.000,0.000
3.604,0.0000,0.0000,0.0000,0.000,0.000
3.658,0.0000,0.0000,0.0000,0.000,0.000
3.713,0.0000,0.0000,0.0000,0.000,0.000
3.817,0.0000,0.0000,0.0000,0.000,0.000
3.872,0.0000,0.0000,0.0000,0.000,0.000
3.925,0.0000,0.0000,0.0000,0.000,0.000
3.979,0.0000,0.0000,0.0000,0.000,0.000
4.033,0.0000,0.0000,0.0000,0.000,0.000
4.086,0.0000,0.0000,0.0000,0.000,0.000
4.139,0.0000,0.0000,0.0000,0.000,0.000
4.194,0.0000,0.0000,0.0000,0.000,0.000
4.247,0.0000,0.0000,0.0000,0.000,0.000
4.301,0.0000,0.0000,0.0000,0.000,0.000
4.355,0.0000,0.0000,0.0000,0.000,0.000
4.409,0.0000,0.0000,0.0000,0.000,0.000
4.462,0.0000,0.0000,0.0000,0.000,0.000
4.516,0.0000,0.0000,0.0000,0.000,0.000
4.569,0.0000,0.0000,0.0000,0.000,0.000
4.623,0.0000,0.0000,0.0000,0.000,0.000
4.677,0.0000,0.0000,0.0000,0.000,0.000
4.731,0.0000,0.0000,0.0000,0.000,0.000
4.783,0.0000,0.0000,0.0000,0.000,0.000
4.838,0.0000,0.0000,0.0000,0.000,0.000
4.890,0.0000,0.0000,0.0000,0.000,0.000
4.894,0.0000,0.0000,0.0000,0.000,0.000
4.997,0.0000,0.0000,0.0000,0.000,0.000
5.051,0.0000,0.0000,0.0000,0.000,0.000
5.105,0.0000,0.0000,0.0000,0.000,0.000
5.159,0.0000,0.0000,0.0000,0.000,0.000
5.214,0.0000,0.0000,0.0000,0.000,0.000
5.267,0.0000,0.0000,0.0000,0.000,0.000
5.320,0.0000,0.0000,0.0000,0.000,0.000
5.375,0.0000,0.0000,0.0000,0.000,0.000
5.427,0.0000,0.0000,0.0000,0.000,0.000
5.482,0.0000,0.0000,0.0000,0.000,0.000
5.536,0.0000,0.0000,0.0000,0.000,0.000
5.591,0.0000,0.0000,0.0000,0.000,0.000
5.646,0.0000,0.0000,0.0000,0.000,0.000
5.700,0.0000,0.0000,0.0000,0.000,0.000
5.754,0.0000,0.0000,0.0000,0.000,0.000
5.769,0.0000,0.0000,0.0000,0.000,0.000
5.772,0.0000,0.0000,0.0000,0.000,0.000
5.879,0.0000,0.0000,0.0000,0.000,0.000
5.935,0.0000,0.0000,0.0000,0.000,0.000
5.988,0.0000,0.0000,0.0000,0.000,0.000
6.042,0.0000,0.0000,0.0000,0.000,0.000
6.098,0.0000,0.0000,0.0000,0.000,0.000
