t,x,y,theta,v,w
0.844,0.0000,0.0000,0.0000,0.000,0.000
0.852,0.0000,0.0000,0.0000,0.000,0.000
0.860,0.0000,0.0000,0.0000,0.000,0.000
0.866,0.0000,0.0000,0.0000,0.000,0.000
0.873,0.0000,0.0000,0.0000,0.000,0.000
0.879,0.0000,0.0000,0.0000,0.000,0.000
0.886,0.0000,0.0000,0.0000,0.000,0.000
0.893,0.0000,0.0000,0.0000,0.000,0.000
0.900,0.0000,0.0000,0.0000,0.000,0.000
0.907,0.0000,0.0000,0.0000,0.000,0.000
0.916,0.0000,0.0000,0.0000,0.000,0.000
0.923,0.0000,0.0000,0.0000,0.000,0.000
0.931,0.0000,0.0000,0.0000,0.000,0.000
0.938,0.0000,0.0000,0.0000,0.000,0.000
0.946,0.0000,0.0000,0.0000,0.000,0.000
0.954,0.0000,0.0000,0.0000,0.000,0.000
0.962,0.0000,0.0000,0.0000,0.000,0.000
0.969,0.0000,0.0000,0.0000,0.000,0.000
0.977,0.0000,0.0000,0.0000,0.000,0.000
0.984,0.0000,0.0000,0.0000,0.000,0.000
0.991,0.0000,0.0000,0.0000,0.000,0.000
0.999,0.0000,0.0000,0.0000,0.000,0.000
1.007,0.0000,0.0000,0.0000,0.000,0.000
1.016,0.0000,0.0000,0.0000,0.000,0.000
1.023,0.0000,0.0000,0.0000,0.000,0.000
1.030,0.0000,0.0000,0.0000,0.000,0.000
1.037,0.0000,0.0000,0.0000,0.000,0.000
1.044,0.0000,0.0000,0.0000,0.000,0.000
1.052,0.0000,0.0000,0.0000,0.000,0.000
1.060,0.0000,0.0000,0.0000,0.000,0.000
1.067,0.0000,0.0000,0.0000,0.000,0.000
1.075,0.0000,0.0000,0.0000,0.000,0.000
1.083,0.0000,0.0000,0.0000,0.000,0.000
1.090,0.0000,0.0000,0.0000,0.000,0.000
1.098,0.0000,0.0000,0.0000,0.000,0.000
1.106,0.0000,0.0000,0.0000,0.000,0.000
1.117,0.0000,0.0000,0.0000,0.000,0.000
1.126,0.0000,0.0000,0.0000,0.000,0.000
1.134,0.0000,0.0000,0.0000,0.000,0.000
1.143,0.0000,0.0000,0.0000,0.000,0.000
1.150,0.0000,0.0000,0.0000,0.000,0.000
1.158,0.0000,0.0000,0.0000,0.000,0.000
1.166,0.0000,0.0000,0.0000,0.000,0.000
